PRES,BU,PLOT,MONDATE,SPCODE,IND,COVER,LAST BURN,MON_YEAR,BURN_YEAR
ABRP,7,4,8/5/1996,HW,0,0,4/30/1994,1996,1993
ABRP,7,4,8/5/1996,PE,0,0,4/30/1994,1996,1993
ABRP,7,4,8/5/1996,QE,1,10,4/30/1994,1996,1993
ABRP,7,4,8/5/1996,QL,5,393,4/30/1994,1996,1993
ABRP,7,4,8/5/1996,QU,1,20,4/30/1994,1996,1993
ABRP,7,5,8/22/1996,HW,4,350,4/30/1994,1996,1993
ABRP,7,5,8/22/1996,PE,0,0,4/30/1994,1996,1993
ABRP,7,5,8/22/1996,QE,0,0,4/30/1994,1996,1993
ABRP,7,5,8/22/1996,QL,4,290,4/30/1994,1996,1993
ABRP,7,5,8/22/1996,QU,1,150,4/30/1994,1996,1993
ABRP,7,6,8/5/1996,HW,1,36,4/30/1994,1996,1993
ABRP,7,6,8/5/1996,PE,0,0,4/30/1994,1996,1993
ABRP,7,6,8/5/1996,QE,1,278,4/30/1994,1996,1993
ABRP,7,6,8/5/1996,QL,5,399,4/30/1994,1996,1993
ABRP,7,6,8/5/1996,QU,2,221,4/30/1994,1996,1993
ABRP,7,7,8/7/1996,HW,1,65,4/30/1994,1996,1993
ABRP,7,7,8/7/1996,PE,1,310,4/30/1994,1996,1993
ABRP,7,7,8/7/1996,QE,0,0,4/30/1994,1996,1993
ABRP,7,7,8/7/1996,QL,0,0,4/30/1994,1996,1993
ABRP,7,7,8/7/1996,QU,6,1040,4/30/1994,1996,1993
ABRP,7,8,8/8/1996,HW,0,0,4/30/1994,1996,1993
ABRP,7,8,8/8/1996,PE,0,0,4/30/1994,1996,1993
ABRP,7,8,8/8/1996,QE,1,100,4/30/1994,1996,1993
ABRP,7,8,8/8/1996,QL,1,185,4/30/1994,1996,1993
ABRP,7,8,8/8/1996,QU,3,371,4/30/1994,1996,1993
ABRP,21,1,8/8/1996,HW,0,0,5/6/1994,1996,1994
ABRP,21,1,8/8/1996,PE,0,0,5/6/1994,1996,1994
ABRP,21,1,8/8/1996,QE,0,0,5/6/1994,1996,1994
ABRP,21,1,8/8/1996,QL,3,255,5/6/1994,1996,1994
ABRP,21,1,8/8/1996,QU,0,0,5/6/1994,1996,1994
ABRP,21,2,8/9/1996,HW,0,0,5/6/1994,1996,1994
ABRP,21,2,8/9/1996,PE,0,0,5/6/1994,1996,1994
ABRP,21,2,8/9/1996,QE,0,0,5/6/1994,1996,1994
ABRP,21,2,8/9/1996,QL,0,0,5/6/1994,1996,1994
ABRP,21,2,8/9/1996,QU,1,15,5/6/1994,1996,1994
ABRP,21,3,8/15/1996,HW,1,830,5/6/1994,1996,1994
ABRP,21,3,8/15/1996,PE,0,0,5/6/1994,1996,1994
ABRP,21,3,8/15/1996,QE,1,120,5/6/1994,1996,1994
ABRP,21,3,8/15/1996,QL,3,559,5/6/1994,1996,1994
ABRP,21,3,8/15/1996,QU,1,60,5/6/1994,1996,1994
ABRP,22,1,8/15/1996,HW,0,0,3/26/1995,1996,1994
ABRP,22,1,8/15/1996,PE,0,0,3/26/1995,1996,1994
ABRP,22,1,8/15/1996,QE,0,0,3/26/1995,1996,1994
ABRP,22,1,8/15/1996,QL,4,303,3/26/1995,1996,1994
ABRP,22,1,8/15/1996,QU,1,232,3/26/1995,1996,1994
ABRP,22,2,8/16/1996,HW,1,100,3/26/1995,1996,1994
ABRP,22,2,8/16/1996,PE,7,1320,3/26/1995,1996,1994
ABRP,22,2,8/16/1996,QE,0,0,3/26/1995,1996,1994
ABRP,22,2,8/16/1996,QL,6,507,3/26/1995,1996,1994
ABRP,22,2,8/16/1996,QU,0,0,3/26/1995,1996,1994
ABRP,22,3,8/16/1996,HW,3,470,3/26/1995,1996,1994
ABRP,22,3,8/16/1996,PE,0,0,3/26/1995,1996,1994
ABRP,22,3,8/16/1996,QE,6,1210,3/26/1995,1996,1994
ABRP,22,3,8/16/1996,QL,2,200,3/26/1995,1996,1994
ABRP,22,3,8/16/1996,QU,0,0,3/26/1995,1996,1994
ABRP,22,4,8/19/1996,HW,1,44,3/26/1995,1996,1994
ABRP,22,4,8/19/1996,PE,1,209,3/26/1995,1996,1994
ABRP,22,4,8/19/1996,QE,0,0,3/26/1995,1996,1994
ABRP,22,4,8/19/1996,QL,5,952,3/26/1995,1996,1994
ABRP,22,4,8/19/1996,QU,0,0,3/26/1995,1996,1994
ABRP,22,5,8/26/1996,HW,0,0,3/26/1995,1996,1994
ABRP,22,5,8/26/1996,PE,2,605,3/26/1995,1996,1994
ABRP,22,5,8/26/1996,QE,0,0,3/26/1995,1996,1994
ABRP,22,5,8/26/1996,QL,3,475,3/26/1995,1996,1994
ABRP,22,5,8/26/1996,QU,2,255,3/26/1995,1996,1994
ABRP,5,1,8/11/1997,HW,0,0,5/16/1996,1996,1994
ABRP,5,1,8/11/1997,PE,0,0,5/16/1996,1996,1994
ABRP,5,1,8/11/1997,PP,1,0.65,5/16/1996,1996,1994
ABRP,5,1,8/11/1997,QE,0,0,5/16/1996,1996,1994
ABRP,5,1,8/11/1997,QL,1,0.85,5/16/1996,1996,1994
ABRP,5,1,8/11/1997,QU,0,0,5/16/1996,1996,1994
ABRP,5,2,8/11/1997,HW,0,0,5/16/1996,1996,1994
ABRP,5,2,8/11/1997,PE,0,0,5/16/1996,1996,1994
ABRP,5,2,8/11/1997,PP,0,0,5/16/1996,1996,1994
ABRP,5,2,8/11/1997,QE,0,0,5/16/1996,1996,1994
ABRP,5,2,8/11/1997,QL,5,9.6,5/16/1996,1996,1994
ABRP,5,2,8/11/1997,QU,7,11.2,5/16/1996,1996,1994
